trip_id,deviceid,date,direction,bus_stop,arrival_time,departure_time,dwell_time,dwell_time_in_seconds,day_of_week,hour_of_day,is_weekday
1.0,116.0,2022-07-01,1.0,114,06:57:33,06:57:33,0:00:00,0.0,4,6,1
1.0,262.0,2022-07-01,1.0,105,07:01:59,07:01:59,0:00:00,0.0,4,7,1
1.0,116.0,2022-07-01,1.0,113,07:00:27,07:00:57,0:00:30,30.0,4,7,1
1.0,116.0,2022-07-01,1.0,BT01,06:19:20,18:55:00,12:35:40,45340.0,4,6,1
